index,w,w_mado,d
56,[0.40850497 0.15118926 0.21089979 0.15339035 0.07601564],0.0621000802247584,5
57,[0.40212543 0.00396621 0.22354318 0.24132014 0.12904504],0.0253087588705399,5
58,[0.16463199 0.05245368 0.46194558 0.04461078 0.27635798],0.0116262021812514,5
59,[0.08723052 0.21414134 0.02078433 0.05021019 0.62763361],0.0907642124594827,5
60,[0.24234894 0.10537923 0.13703207 0.21751031 0.29772945],0.0593718602845043,5
61,[0.12053405 0.16438311 0.11633501 0.29742337 0.30132446],0.0520322137031585,5
62,[0.25082221 0.4493298  0.1580935  0.08388885 0.05786563],0.0211632078695255,5
63,[0.24842029 0.22407537 0.00237396 0.51118593 0.01394445],0.080469737173541,5
64,[0.07292329 0.17413857 0.06547049 0.35767859 0.32978906],0.0045510441387285,5
65,[0.07357124 0.17375492 0.17314164 0.1454035  0.43412869],0.1647903990254001,5
66,[0.10296047 0.22365536 0.16193555 0.50079571 0.01065291],0.1109224523434043,5
67,[0.20200092 0.23376234 0.07291039 0.41152878 0.07979758],0.0105995409712959,5
68,[0.07626851 0.30299255 0.28320647 0.01656661 0.32096586],0.1733430834295608,5
69,[0.23931259 0.10324304 0.39368548 0.1501122  0.11364668],0.1838675775559131,5
70,[0.56110377 0.09010757 0.05891061 0.23562006 0.05425799],0.1585848147472373,5
71,[0.86608776 0.00607972 0.0265344  0.040756   0.06054212],0.6899151436470247,5
72,[0.25773189 0.34153927 0.33942908 0.0572598  0.00403997],0.0183367562075509,5
73,[0.13523132 0.01779555 0.24807983 0.39217488 0.20671843],0.0886690985458387,5
74,[0.45433173 0.04942336 0.00953042 0.01380605 0.47290844],0.0369719510587916,5
75,[0.19054935 0.03664115 0.37414887 0.02971105 0.36894958],0.0720194558270434,5
76,[0.14748251 0.02675327 0.44262396 0.36189787 0.02124239],0.0232179157490611,5
77,[0.36754263 0.109227   0.16768957 0.10023403 0.25530677],0.0567101683538545,5
78,[0.15867201 0.08940871 0.07986091 0.47649803 0.19556035],0.0426390811690545,5
79,[0.18503047 0.04392605 0.38476924 0.00880472 0.37746952],0.0023314098054822,5
80,[0.11785736 0.09034022 0.18748893 0.2560742  0.34823929],0.0874532486438386,5
81,[0.37821243 0.33379893 0.03610193 0.07610071 0.175786  ],0.0200395537805211,5
82,[0.00494442 0.17286186 0.08328373 0.66339306 0.07551693],0.234500968858933,5
83,[0.13958364 0.04190606 0.40375922 0.0285814  0.38616968],0.0328287999422827,5
84,[0.06694671 0.07683865 0.26811893 0.36639753 0.22169818],0.0565742224076989,5
85,[0.05507219 0.02944409 0.50315297 0.38198907 0.03034168],0.0238457064340208,5
86,[0.18309474 0.07248941 0.34079915 0.05377824 0.34983845],0.0002182412920195,5
87,[0.06862867 0.74800489 0.00142674 0.15711722 0.02482248],0.0233898680088327,5
88,[0.31227494 0.20880051 0.15067517 0.28714861 0.04110077],0.0204618385042701,5
89,[0.52565525 0.069966   0.06584201 0.29075613 0.04778061],0.0030740062558452,5
90,[0.45795277 0.09164466 0.02560602 0.05835739 0.36643916],0.0326942808417359,5
91,[0.08069441 0.43344933 0.0346286  0.06861484 0.38261282],0.123802692451845,5
92,[0.1187221  0.33073165 0.48293386 0.00866323 0.05894915],0.0395594461321471,5
93,[0.05207964 0.48532968 0.13803527 0.11725648 0.20729894],0.0379431952926046,5
94,[0.03689736 0.43710483 0.06918881 0.34962722 0.10718179],0.1712497300298197,5
95,[0.00297934 0.42414944 0.00527661 0.48126939 0.08632522],0.0249737083796008,5
